uid,original_uid
-5290478328161710131,716295311342321665
1984147057615254567,271519704
907971274336289915,987494618156675072
-1315437987437732754,770375532
6507777798650809238,740350122974937088
-6343321930903810162,869206764704731136
-7167844635677156595,965376278
4397094339135954013,1145564059
-1469768537553109354,548785705
2642680245783109362,303473553
-2020190344975046472,1095729092421394437
8835997818204317330,2312032806
735801925375281111,1569278958
4207416625321516653,832183474769580033
-4284819705193907194,185743772
-5680199101343689462,2287037757
-3093919792438515880,1590956791
4746070676747742655,893953646379118593
5883682100625247665,1382978396
-4542622628646218404,3697090576
5150344199812384986,1267567279
-756730146066926121,880609777071648768
2606033343988914293,637070448
-5894461528452954369,750098735858913286
-8898818174610192320,1047998228602540032
-4368583031171737560,3146081373
-168266029771265034,984798085057536001
2948275822136100412,834219351041511425
-7116714307827725279,292435137
-3088892653263388866,4179483795
-2134467078507788343,98214014
-2871308138587420931,63643161
5335087471631876913,608739382
5913863500014228151,408952564
-8420585509051563951,883338517
-8843161130791688803,886317483740844032
-8403080268617521150,1074387503816327168
7053966499052789512,68693981
-4831324495500446362,3614034917
-4561124998956436593,1061033086031458304
2893888604067791390,2601208923
9069264073435627837,165726894
-4457327938431313326,726010718403829760
2403732674915715317,2398756907
-1843064968243728807,1068415663
5254276665083475537,106473747
5693316397770388820,3957241893
-9110447494459579478,2393479974
3095518908608355619,989271044648206336
-5728763134063758543,729670919539597312
5145315275042051622,923297951828664320
-2127248071483571721,3080228115
8653317012814765061,973278082235805696
-1729738390687600369,984530249143717888
-2552577718107600935,2147623650
367404442720438768,108279248
1304503234222815021,145329335
2513567949777042623,1163013979
-7525430327518639909,1036376903714840576
1469613587811546485,962694744504664066
8107489918910962854,69028635
3246339380829370908,576528491
4608891072139051100,4230269247
3389411948907682622,244643831
3412292510751626307,190519989
-3648599631172034698,342734896
-1250120151208188196,71080518
2398965547338963564,343359644
2439678498676782537,2985998279
-4603989222744745570,227330863
8677647602573834457,337460914
2782063430736557161,61776425
-1961575646990237877,1039380114998476800
2908445268243137307,721750386617540609
1918900179920804002,998374073901240321
-5269038748764602508,461680981
6107290825668844948,887004660627898369
-5446413966230324303,772245551131856896
493392904570098251,4809053248
-2216747296086321581,149098745
-2780474603985867597,196346079
-1267604689500643818,103464780
2269793813314012426,2187197234
-1741022519758152283,763556057260158976
1190249926966462764,2605914234
-3561753626061832319,886019926271700993
-1278341980250352336,809438638299893760
-4189088345077302694,550377868
288047298589711769,1581268628
7518207419975412970,140110720
-1509616138900226209,3344268101
-8811115252301474746,363349603
-4389329359895096633,741062399143346176
402823491338133637,266967762
2264437195192060506,892800242717995008
-7874878687273035363,3294744137
-984152360096984621,166891148
2334546864472709943,2268044996
-8624875314296459468,853014396
7740501148154556948,1081908779741048832
7075742218990795062,995774190681821185
-7567793269682756495,30133437
4817098835580681764,252797422
-3657852990665249528,4199107359
-8700452839988029743,1092547061227155462
-5388056191714269680,708648859581476864
7877953084821015258,131144050
-7440417447773958329,528019707
7572024235857691757,791562804897673217
-9002367977866409836,1063801532
-6543775693070120078,1101141823882448898
1986245270717239263,20022204
-1924855771231137362,4508203637
5783706955001462135,240425521
1093767362035051080,4078995195
-4108061013859477341,531421693
782559750915215776,976284406393593856
7331810256103595041,179525980
-3034233056358048479,355550602
-1752109641064008212,909358892
2142447572637539213,501991167
-2494977874424367466,547171667
1738941228327422380,489982537
-2373812337574757427,772013555352756224
-8492224513387910386,3775269923
179823472059694431,735617237822935041
-8937986133157986591,184229470
5054091806050460208,2344171555
2121234636817871166,3339269463
-3167005557010809894,1266075217
