uid,opinion_valence
-9221802327003542178,1.0
-9221536826762106751,-1.0
-9221081059979757846,-1.0
-9221012274520296647,-1.0
-9220287581485854731,1.0
-9218969892912372596,-0.6
-9218490551414704140,1.0
-9217828388319628528,-1.0
-9217344858663536832,1.0
-9217180875693300940,1.0
-9216409523545348317,1.0
-9216309923390517162,0.0
-9215957135270002037,-1.0
-9214984708929120040,-1.0
-9214803596739518785,1.0
-9213968140773527633,1.0
-9213441458607865032,0.3333333333333333
-9213363465601207106,-1.0
-9212896800931913011,1.0
-9210362367717544648,1.0
-9210226687333020302,1.0
-9208997429291508338,1.0
-9208763825207396687,-1.0
-9208630260681234445,0.5
-9206481274189728014,-1.0
-9206450954754336693,-1.0
-9205661873357211851,-1.0
-9204122923623492632,-1.0
-9203730337003703784,0.3333333333333333
-9202883868394114224,1.0
-9202454150545096347,1.0
-9202432197009909224,1.0
-9202060797656667398,1.0
-9201146888518083009,-1.0
-9199859107965412624,0.0
-9199519559302613090,-1.0
-9199382671162439486,-1.0
-9198499376136729327,-1.0
-9198006840697060212,1.0
-9197933924418036345,-1.0
-9197657373313188797,-1.0
-9197087708354551261,1.0
-9196223651535496102,-1.0
-9195940832136821398,-1.0
-9195882251428175237,1.0
-9195823038687793835,-1.0
-9195807695749573228,-1.0
-9195260996291405583,-1.0
-9194048685401875003,-1.0
-9193789042817358575,-1.0
-9193649162545471182,1.0
-9193568573275166250,1.0
-9193268770007352833,1.0
-9192495778480216866,-1.0
-9190905109079318101,1.0
-9190336182753987155,-1.0
-9190155821950845794,0.058823529411764705
-9190086907079653715,1.0
-9189324715256361469,-1.0
-9189050416488313768,-1.0
-9188974730112246952,-1.0
-9187423031043577214,-1.0
-9187189957422900033,0.5
-9187077452995059187,-0.9797979797979798
-9186728192271591358,1.0
-9185529422281615155,-1.0
-9185301160245284990,-1.0
-9184647876019929196,1.0
-9184451144687834196,1.0
-9184284789697923859,1.0
-9184067880365728284,1.0
-9183582915513998059,-1.0
-9183229463338362974,1.0
-9182825053353933782,1.0
-9182377460272681206,1.0
-9181122141641647344,1.0
-9179803419537649166,-1.0
-9178432840466428772,1.0
-9177821597931725715,1.0
